cluster_id	bc_unitType
0	NON-SOMA GOOD
1	GOOD
2	GOOD
3	NOISE
4	NOISE
5	GOOD
6	MUA
7	NON-SOMA GOOD
8	GOOD
9	NOISE
10	NON-SOMA GOOD
11	NON-SOMA GOOD
12	NON-SOMA GOOD
13	GOOD
14	GOOD
15	NON-SOMA GOOD
16	MUA
17	NON-SOMA GOOD
18	GOOD
19	MUA
20	NON-SOMA GOOD
21	NON-SOMA GOOD
22	GOOD
23	GOOD
24	NON-SOMA GOOD
25	NOISE
26	GOOD
27	MUA
28	GOOD
29	MUA
30	GOOD
31	NON-SOMA GOOD
32	NON-SOMA GOOD
33	GOOD
34	GOOD
35	NON-SOMA GOOD
36	MUA
37	NON-SOMA MUA
38	NON-SOMA MUA
39	NOISE
40	GOOD
41	GOOD
42	NOISE
43	GOOD
44	NON-SOMA GOOD
45	GOOD
46	MUA
47	GOOD
48	GOOD
49	GOOD
50	GOOD
51	GOOD
52	NON-SOMA GOOD
53	GOOD
54	GOOD
55	NOISE
56	MUA
57	MUA
58	NON-SOMA GOOD
59	GOOD
60	GOOD
61	GOOD
62	GOOD
63	GOOD
64	GOOD
65	MUA
66	NON-SOMA GOOD
67	GOOD
68	MUA
69	GOOD
70	GOOD
71	GOOD
72	GOOD
73	GOOD
74	GOOD
75	GOOD
76	GOOD
77	GOOD
78	GOOD
79	MUA
80	NON-SOMA GOOD
81	GOOD
82	GOOD
83	MUA
84	GOOD
85	MUA
86	GOOD
87	MUA
88	GOOD
89	GOOD
90	GOOD
91	GOOD
92	MUA
93	NON-SOMA GOOD
94	NON-SOMA GOOD
95	GOOD
96	NON-SOMA GOOD
97	NON-SOMA GOOD
98	NON-SOMA GOOD
99	MUA
100	NOISE
101	NOISE
102	GOOD
103	NON-SOMA GOOD
104	GOOD
105	GOOD
106	NOISE
107	NON-SOMA GOOD
108	NON-SOMA GOOD
109	GOOD
110	MUA
111	GOOD
112	NON-SOMA GOOD
113	NON-SOMA GOOD
114	GOOD
115	NON-SOMA GOOD
116	NON-SOMA GOOD
117	NON-SOMA GOOD
118	NON-SOMA GOOD
119	NON-SOMA MUA
120	NON-SOMA GOOD
121	GOOD
122	GOOD
123	NON-SOMA GOOD
124	GOOD
125	NON-SOMA GOOD
126	MUA
127	NON-SOMA GOOD
128	GOOD
129	NON-SOMA GOOD
130	NON-SOMA GOOD
131	GOOD
132	NON-SOMA GOOD
133	GOOD
134	GOOD
135	NON-SOMA GOOD
136	NON-SOMA GOOD
137	NON-SOMA GOOD
138	GOOD
139	NON-SOMA MUA
140	GOOD
141	GOOD
142	NON-SOMA GOOD
143	NON-SOMA GOOD
144	NON-SOMA GOOD
145	NON-SOMA GOOD
146	NON-SOMA MUA
147	NON-SOMA GOOD
148	GOOD
149	NON-SOMA GOOD
150	NON-SOMA GOOD
151	NON-SOMA GOOD
152	NON-SOMA GOOD
153	MUA
154	GOOD
155	MUA
156	MUA
157	MUA
158	GOOD
159	GOOD
160	GOOD
161	NOISE
162	GOOD
163	GOOD
164	GOOD
165	GOOD
166	NOISE
167	NOISE
168	GOOD
169	GOOD
170	GOOD
171	GOOD
172	NON-SOMA GOOD
173	GOOD
174	MUA
175	GOOD
176	MUA
177	GOOD
178	MUA
179	GOOD
180	MUA
181	GOOD
182	GOOD
183	GOOD
184	GOOD
185	MUA
186	MUA
187	GOOD
188	MUA
189	NON-SOMA GOOD
190	MUA
191	GOOD
192	NON-SOMA GOOD
193	GOOD
194	GOOD
195	GOOD
196	GOOD
197	MUA
198	MUA
199	NON-SOMA GOOD
200	GOOD
201	GOOD
202	MUA
203	NON-SOMA GOOD
204	GOOD
205	NON-SOMA GOOD
206	GOOD
207	GOOD
208	GOOD
209	GOOD
210	GOOD
211	NON-SOMA GOOD
212	NON-SOMA GOOD
213	GOOD
214	GOOD
215	NON-SOMA GOOD
216	NOISE
217	NOISE
218	NOISE
219	GOOD
220	GOOD
221	MUA
222	GOOD
223	NOISE
224	GOOD
225	GOOD
226	NOISE
227	MUA
228	MUA
229	GOOD
230	GOOD
231	GOOD
232	MUA
233	NON-SOMA GOOD
234	NON-SOMA GOOD
235	GOOD
236	NON-SOMA MUA
237	MUA
238	GOOD
239	GOOD
240	NON-SOMA MUA
241	GOOD
242	NON-SOMA GOOD
243	GOOD
244	NON-SOMA GOOD
245	GOOD
246	NON-SOMA GOOD
247	NON-SOMA GOOD
248	NON-SOMA GOOD
249	NON-SOMA GOOD
250	GOOD
251	NON-SOMA GOOD
252	NON-SOMA GOOD
253	GOOD
254	NON-SOMA GOOD
255	NON-SOMA GOOD
256	NON-SOMA GOOD
257	NON-SOMA MUA
258	GOOD
259	NON-SOMA GOOD
260	GOOD
261	NON-SOMA GOOD
262	GOOD
263	NON-SOMA GOOD
264	NON-SOMA GOOD
265	GOOD
266	NON-SOMA GOOD
267	GOOD
268	NOISE
269	GOOD
270	GOOD
271	GOOD
272	NON-SOMA GOOD
273	GOOD
274	GOOD
275	GOOD
276	GOOD
277	NOISE
278	NON-SOMA MUA
279	GOOD
280	GOOD
281	NON-SOMA GOOD
282	NOISE
283	MUA
284	GOOD
285	GOOD
286	MUA
287	GOOD
288	NON-SOMA GOOD
289	GOOD
290	NON-SOMA GOOD
291	GOOD
292	NON-SOMA GOOD
293	GOOD
294	NON-SOMA GOOD
295	GOOD
296	NON-SOMA GOOD
297	GOOD
298	GOOD
299	MUA
300	GOOD
301	NON-SOMA MUA
302	NON-SOMA GOOD
303	GOOD
304	NON-SOMA GOOD
305	GOOD
306	GOOD
307	GOOD
308	GOOD
309	GOOD
310	NON-SOMA MUA
311	GOOD
312	NON-SOMA GOOD
313	NON-SOMA GOOD
314	GOOD
315	MUA
316	GOOD
317	GOOD
318	NON-SOMA GOOD
319	GOOD
320	GOOD
321	GOOD
322	GOOD
323	GOOD
324	GOOD
325	GOOD
326	GOOD
327	NOISE
328	MUA
329	MUA
330	GOOD
331	NON-SOMA GOOD
332	GOOD
333	GOOD
334	NON-SOMA GOOD
335	GOOD
336	GOOD
337	GOOD
338	GOOD
339	NON-SOMA GOOD
340	GOOD
341	GOOD
342	NON-SOMA GOOD
343	MUA
344	NON-SOMA GOOD
345	NOISE
346	GOOD
347	GOOD
348	GOOD
349	MUA
350	GOOD
351	MUA
352	GOOD
353	NON-SOMA GOOD
354	GOOD
355	GOOD
356	GOOD
357	GOOD
358	GOOD
359	GOOD
360	GOOD
361	NOISE
362	GOOD
363	GOOD
364	NON-SOMA GOOD
365	NON-SOMA MUA
366	GOOD
367	NON-SOMA GOOD
368	MUA
369	GOOD
370	NON-SOMA GOOD
371	GOOD
372	GOOD
373	GOOD
374	GOOD
375	NON-SOMA GOOD
376	NON-SOMA GOOD
377	GOOD
378	NOISE
379	MUA
380	MUA
381	GOOD
382	NON-SOMA GOOD
383	GOOD
384	GOOD
385	NON-SOMA MUA
386	GOOD
387	NON-SOMA GOOD
388	NON-SOMA GOOD
389	GOOD
390	NON-SOMA GOOD
391	GOOD
392	NON-SOMA GOOD
393	NON-SOMA GOOD
394	GOOD
395	NON-SOMA GOOD
396	NON-SOMA GOOD
397	NON-SOMA GOOD
398	NOISE
399	GOOD
400	NOISE
401	NON-SOMA GOOD
402	GOOD
403	GOOD
404	NON-SOMA GOOD
405	NON-SOMA GOOD
406	GOOD
407	NON-SOMA GOOD
408	NON-SOMA GOOD
409	NON-SOMA GOOD
410	GOOD
411	MUA
412	GOOD
413	NON-SOMA GOOD
414	NON-SOMA GOOD
415	NON-SOMA GOOD
416	NON-SOMA GOOD
417	NON-SOMA GOOD
418	NON-SOMA GOOD
419	NON-SOMA GOOD
420	NON-SOMA GOOD
421	NON-SOMA GOOD
422	GOOD
423	GOOD
424	NON-SOMA GOOD
425	GOOD
426	NON-SOMA GOOD
427	NON-SOMA GOOD
428	GOOD
429	NOISE
430	MUA
431	NON-SOMA GOOD
432	GOOD
433	NON-SOMA GOOD
434	GOOD
435	GOOD
436	GOOD
437	NOISE
438	NON-SOMA GOOD
439	NON-SOMA GOOD
440	NOISE
441	NOISE
442	NON-SOMA GOOD
443	NON-SOMA GOOD
444	GOOD
445	GOOD
446	NON-SOMA GOOD
447	NON-SOMA GOOD
448	NON-SOMA GOOD
449	GOOD
450	NON-SOMA GOOD
451	NON-SOMA GOOD
452	NON-SOMA GOOD
453	GOOD
454	GOOD
455	GOOD
456	GOOD
457	NON-SOMA GOOD
458	GOOD
459	GOOD
460	NON-SOMA GOOD
461	NON-SOMA GOOD
462	GOOD
463	GOOD
464	GOOD
465	GOOD
466	GOOD
467	NOISE
468	GOOD
469	MUA
470	GOOD
471	NON-SOMA GOOD
472	GOOD
473	GOOD
474	GOOD
475	NOISE
476	GOOD
477	NOISE
478	GOOD
479	NON-SOMA GOOD
480	GOOD
481	MUA
482	GOOD
483	NOISE
484	NOISE
485	NOISE
486	GOOD
487	GOOD
488	GOOD
489	GOOD
490	GOOD
491	GOOD
492	GOOD
493	GOOD
494	NON-SOMA GOOD
495	GOOD
496	NON-SOMA MUA
497	GOOD
498	GOOD
499	GOOD
500	GOOD
501	GOOD
502	NON-SOMA MUA
503	GOOD
504	GOOD
505	GOOD
506	GOOD
507	GOOD
508	GOOD
509	GOOD
510	GOOD
511	GOOD
512	GOOD
513	NOISE
514	GOOD
515	GOOD
516	GOOD
517	GOOD
518	GOOD
519	GOOD
520	GOOD
521	GOOD
522	GOOD
523	GOOD
524	NON-SOMA GOOD
525	GOOD
526	GOOD
527	MUA
528	GOOD
529	NOISE
530	MUA
531	MUA
532	GOOD
533	GOOD
534	GOOD
535	GOOD
536	NON-SOMA GOOD
537	NON-SOMA GOOD
538	MUA
539	GOOD
540	GOOD
541	GOOD
542	GOOD
543	GOOD
544	NOISE
545	GOOD
546	GOOD
547	GOOD
548	NON-SOMA GOOD
549	GOOD
550	MUA
551	GOOD
552	GOOD
553	MUA
554	GOOD
555	GOOD
556	NON-SOMA GOOD
557	GOOD
558	GOOD
559	MUA
560	NOISE
561	NOISE
562	GOOD
563	GOOD
564	NOISE
565	GOOD
566	MUA
567	NOISE
568	NOISE
569	NOISE
570	GOOD
571	NON-SOMA MUA
572	NOISE
573	NOISE
574	NOISE
575	GOOD
576	NOISE
577	NOISE
578	NOISE
579	NON-SOMA GOOD
580	NOISE
581	NOISE
582	NON-SOMA GOOD
583	NOISE
584	NOISE
585	NON-SOMA GOOD
586	NON-SOMA GOOD
587	GOOD
588	NOISE
589	NOISE
590	NOISE
591	NOISE
592	NOISE
593	NON-SOMA GOOD
594	NON-SOMA GOOD
595	NON-SOMA GOOD
596	NON-SOMA GOOD
597	NOISE
598	NON-SOMA GOOD
599	NOISE
600	NOISE
601	NON-SOMA GOOD
602	NON-SOMA GOOD
603	NOISE
604	NON-SOMA GOOD
605	NON-SOMA GOOD
606	GOOD
607	NOISE
608	NOISE
609	NON-SOMA GOOD
610	NOISE
611	NON-SOMA GOOD
612	NOISE
613	NOISE
614	NOISE
615	NOISE
616	NON-SOMA GOOD
617	NOISE
618	NOISE
619	NON-SOMA GOOD
620	NON-SOMA GOOD
621	NOISE
622	NON-SOMA MUA
623	NOISE
624	NON-SOMA GOOD
625	NON-SOMA GOOD
626	NON-SOMA GOOD
627	NON-SOMA MUA
628	NOISE
629	NOISE
630	NOISE
631	NON-SOMA GOOD
632	NON-SOMA GOOD
633	NON-SOMA GOOD
634	GOOD
635	NOISE
636	NON-SOMA GOOD
637	NON-SOMA GOOD
638	NOISE
639	NON-SOMA GOOD
640	NOISE
641	NON-SOMA GOOD
642	NON-SOMA GOOD
643	NON-SOMA MUA
644	NOISE
645	NOISE
646	NON-SOMA GOOD
647	NOISE
