,phy_clusterID,nSpikes,nPeaks,nTroughs,waveformDuration_peakTrough,spatialDecaySlope,waveformBaselineFlatness,scndPeakToTroughRatio,mainPeakToTroughRatio,peak1ToPeak2Ratio,troughToPeak2Ratio,mainPeak_before_width,mainTrough_width,percentageSpikesMissing_gaussian,percentageSpikesMissing_symmetric,RPV_window_index,fractionRPVs,presenceRatio,maxDriftEstimate,cumDriftEstimate,rawAmplitude,signalToNoiseRatio,isolationDistance,Lratio,silhouetteScore,useTheseTimesStart,useTheseTimesStop,peak_channels
0,0,9705.0,1.0,1.0,600.0,-0.04235175776049404,0.021372340619564056,0.3124629557132721,0.3124629557132721,0.2836500406265259,11.282845497131348,2.8323597399324782,7.318889677102106,11.685531217149192,27.709497206703908,0.0,1.0,0.7567567567567568,24.972343609711903,222.08774930831015,,,24.34465838942098,0.0927824514131883,,0.3253666666666667,4475.873933333333,0
1,1,24343.0,1.0,2.0,400.0,-0.0004960585126804736,1.0,0.9804330468177795,0.9804330468177795,0.0014376093167811632,709.4816284179688,,8.092348939331401,100.0,31.48413971685102,0.0,1.0,1.0,42.515826706554236,383.89789820691726,,,12.644601125125863,0.8581497112220767,,0.3253666666666667,4475.873933333333,0
2,2,5906.0,1.0,1.0,733.3333333333334,-0.025323413038612828,0.04806084558367729,0.43188226222991943,0.43188226222991943,0.11128228157758713,20.80695915222168,0.9486451842847679,8.875601576238587,100.0,22.074152262831507,0.0,1.0,0.972972972972973,73.38926639021628,453.7756563273043,,,16.554391559236198,0.5872136924716166,,0.3253666666666667,4475.873933333333,2
3,3,1342.0,1.0,1.0,300.0,-0.04080725981990671,0.014625025913119316,0.23479165136814117,0.23479165136814117,0.021124979481101036,201.61416625976562,,4.0994614960810765,7.891646126693752,20.872641509433958,0.0,1.0,0.8108108108108109,49.14959295473014,632.5234266345552,,,5.721868947901512,22.439264508633507,,0.3253666666666667,4475.873933333333,2
4,4,3784.0,2.0,1.0,600.0,-0.013389491961754752,0.0572766438126564,0.3046643137931824,0.3046643137931824,0.8444185853004456,3.887054443359375,3.3456206988012624,8.822805640676926,12.775031143322924,41.360607469394076,0.0,1.0,0.9459459459459459,65.01507860118494,406.0696518770211,,,9.300132229416448,3.7281198397538517,,0.3253666666666667,4475.873933333333,4
5,5,6454.0,1.0,1.0,666.6666666666666,-0.028865556815444768,0.044926322996616364,0.29734519124031067,0.29734519124031067,0.15109148621559143,22.258665084838867,,6.191828776151276,2.9959927138861198,2.3305084745762756,0.0,0.9822378652697061,0.527027027027027,34.258557903269434,362.2330330832681,,,25.58478330550765,0.07146448172126657,,0.3253666666666667,4475.873933333333,6
6,6,13605.0,1.0,1.0,266.6666666666667,-0.020929900026697482,0.02693299576640129,0.49225568771362305,0.49225568771362305,0.04257415607571602,47.715911865234375,,4.136663061355833,0.0,7.1399317406143314,0.0,0.0329025217284871,0.8243243243243243,52.68921140404201,170.08857561718065,,,62.87675344552977,8.798124661659482e-05,,0.3253666666666667,4475.873933333333,6
7,7,171.0,1.0,1.0,600.0,-0.014845254768532762,0.019374215975403786,0.2881741523742676,0.2881741523742676,0.06723092496395111,51.614994049072266,,4.13943203917767,100.0,35.95505617977528,0.0,1.0,0.6891891891891891,53.1535890171688,702.26054678546,,,5.3934269725240975,83.1427793980234,,0.3253666666666667,4475.873933333333,5
8,8,390.0,1.0,1.0,600.0,-0.01525673004924708,0.0452253520488739,0.3034268021583557,0.3034268021583557,0.14904864132404327,22.111492156982422,,5.895327485883364,0.22036766116354523,0.0,0.0,0.6764984440535787,0.8783783783783784,44.88962214044244,566.4546792767103,,,12.020489923975331,7.429461708190118,,0.3253666666666667,4475.873933333333,9
9,9,75.0,1.0,1.0,633.3333333333334,-0.019838753516787957,0.02947707287967205,0.29231536388397217,0.29231536388397217,0.10083996504545212,33.9246711730957,,5.698128319935925,100.0,30.555555555555554,0.0,1.0,0.33783783783783783,64.34255885219375,393.1367759756989,,,3.312957838361122,214.74488515774885,,0.3253666666666667,4475.873933333333,11
