cluster_id	bc_unitType
0	NOISE
1	NOISE
2	MUA
3	MUA
4	MUA
5	MUA
6	NOISE
7	MUA
8	NOISE
13	MUA
14	NOISE
15	NOISE
16	NON-SOMA
17	NON-SOMA
18	NON-SOMA
19	NOISE
20	NON-SOMA
29	MUA
35	NOISE
36	NOISE
37	NOISE
38	NOISE
39	NOISE
40	MUA
41	MUA
42	MUA
43	MUA
44	NOISE
45	GOOD
49	NON-SOMA
51	MUA
52	MUA
53	NOISE
54	GOOD
55	NON-SOMA
56	NON-SOMA
58	MUA
59	MUA
60	GOOD
76	MUA
80	NOISE
81	GOOD
82	MUA
83	GOOD
86	GOOD
88	GOOD
89	GOOD
92	NOISE
93	MUA
95	NON-SOMA
98	NOISE
108	MUA
110	NOISE
112	NON-SOMA
116	NON-SOMA
122	NOISE
123	MUA
129	NON-SOMA
130	MUA
131	NOISE
132	NON-SOMA
134	NON-SOMA
140	NON-SOMA
143	MUA
144	MUA
146	MUA
148	NON-SOMA
149	MUA
152	NON-SOMA
153	MUA
154	NOISE
155	MUA
156	MUA
157	MUA
158	NON-SOMA
160	NON-SOMA
162	MUA
165	NON-SOMA
166	NON-SOMA
167	MUA
169	NON-SOMA
170	NON-SOMA
171	NOISE
174	MUA
175	MUA
176	NON-SOMA
177	MUA
178	GOOD
179	NON-SOMA
180	GOOD
181	MUA
186	NOISE
187	GOOD
188	MUA
189	NON-SOMA
193	MUA
195	MUA
197	GOOD
198	NOISE
199	MUA
200	MUA
202	NON-SOMA
203	MUA
204	NOISE
205	GOOD
207	NON-SOMA
208	NON-SOMA
209	MUA
211	NOISE
212	MUA
213	NOISE
214	NOISE
216	NOISE
217	GOOD
219	MUA
223	NON-SOMA
224	NOISE
225	MUA
226	NON-SOMA
227	MUA
228	MUA
229	NOISE
230	NON-SOMA
231	MUA
234	NON-SOMA
235	NON-SOMA
236	NOISE
237	NOISE
239	MUA
241	MUA
242	GOOD
243	NON-SOMA
244	NON-SOMA
245	MUA
246	NOISE
247	MUA
248	GOOD
251	MUA
253	MUA
257	MUA
258	MUA
259	MUA
260	NOISE
261	MUA
262	MUA
263	MUA
264	MUA
265	MUA
266	NOISE
267	NOISE
269	NOISE
270	NON-SOMA
271	NOISE
272	NON-SOMA
273	NOISE
274	NOISE
275	NOISE
276	MUA
277	NOISE
278	NOISE
279	MUA
280	MUA
281	NOISE
283	MUA
285	MUA
287	NON-SOMA
290	MUA
291	NOISE
292	MUA
293	MUA
296	NOISE
297	NOISE
298	NOISE
300	NOISE
309	NON-SOMA
310	MUA
312	NON-SOMA
315	NON-SOMA
316	MUA
319	NOISE
320	NOISE
321	NOISE
322	NON-SOMA
323	NOISE
324	NOISE
325	NON-SOMA
328	NOISE
330	NOISE
331	MUA
332	GOOD
333	GOOD
340	GOOD
341	MUA
342	GOOD
348	MUA
357	GOOD
358	MUA
362	GOOD
376	MUA
379	MUA
380	GOOD
381	NON-SOMA
383	NON-SOMA
400	MUA
403	GOOD
407	GOOD
411	NOISE
413	NOISE
627	MUA
632	NON-SOMA
633	NON-SOMA
634	NON-SOMA
635	NON-SOMA
640	NON-SOMA
642	NOISE
651	MUA
652	MUA
654	GOOD
655	MUA
656	MUA
657	NOISE
660	MUA
661	MUA
662	NOISE
663	NOISE
664	NON-SOMA
665	GOOD
667	MUA
672	MUA
674	NON-SOMA
675	MUA
678	MUA
