cluster_id	peak_1_to_peak_2
0	0
1	0.37845730488215
2	0
3	0
4	0
5	0
6	0
7	0
8	0
13	1.90990487537599
14	0
15	0
16	0
17	0
18	0
19	0
20	0
29	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
49	0
51	0
52	0
53	0
54	0
55	0
56	0
58	0
59	0.60642397213904
60	0
76	0
80	0
81	2.52637034127302
82	0
83	0
86	0
88	0
89	0
92	0
93	0
95	0
98	0
108	0
110	0
112	0
116	0
122	0
123	0
129	0
130	1.13973859217848
131	0
132	0
134	0
140	0
143	0
144	0
146	0
148	0
149	81.1664266731764
152	0
153	0.723724810745625
154	26.4006557262091
155	0
156	0
157	0
158	0
160	0
162	42.8363849878078
165	0
166	0
167	0
169	0
170	0
171	0
174	0
175	0.460925226678948
176	179.952874146806
177	0.67164497002507
178	0
179	21.9373480204862
180	0
181	0
186	0
187	0.545875233334446
188	0
189	0
193	0
195	0
197	0
198	0
199	0
200	71.3802095616844
202	0
203	0
204	2.61831219275895
205	0
207	11.4769131012803
208	0
209	0
211	0
212	0
213	0
214	0
216	0
217	0
219	23.9585107316039
223	3.26845892781607
224	26.8165024513999
225	0
226	9.53585042959585
227	0
228	0
229	0
230	0
231	0
234	3.94287736174087
235	119.342551288406
236	0
237	68.2811768729101
239	0
241	0
242	0
243	4.44452699321005
244	4.47532226414816
245	0
246	0
247	0
248	0
251	0
253	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
269	0
270	0
271	0
272	0
273	38.9938600115816
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
283	0
285	0
287	0
290	0
291	0
292	35.4213470618078
293	0
296	0
297	0
298	0
300	0
309	0
310	0
312	0
315	3.61131706077059
316	0
319	0
320	33.6083962489085
321	0
322	0
323	0
324	36.5797383132967
325	0
328	0
330	0
331	0
332	64.6129097568273
333	0
340	0
341	0
342	0
348	0
357	0
358	1.06000414928239
362	0
376	0
379	0
380	0
381	0
383	0
400	0
403	0
407	0
411	0
413	0
627	0
632	0
633	0
634	12.605025302049
635	0
640	0
642	22.668729992132
651	0
652	20.4620225933376
654	0
655	0
656	0
657	0
660	0
661	0
662	0
663	0
664	0
665	0
667	0
672	0
674	0
675	0
678	0
